City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
380,Nha Trang,VN,84.2,few clouds,12.25,109.18,Hanoi Golden Hotel
381,Saint-Francois,FR,59.0,light rain,46.42,3.91,Manoir Du Bonheur
382,Moron,AR,72.0,scattered clouds,-34.65,-58.62,Hotel Morón
383,Deder,ET,57.96,few clouds,9.32,41.45,
384,Ontario,US,81.0,few clouds,34.06,-117.65,DoubleTree by Hilton Hotel Ontario Airport
385,Abu Samrah,SY,59.25,clear sky,35.3,37.18,
387,Impfondo,CG,72.55,overcast clouds,1.64,18.07,Préfecture de la Likouala
388,Grenville,GD,82.4,few clouds,12.12,-61.62,Valley Breeze Guest House
389,Mantua,IT,64.0,overcast clouds,45.17,10.78,Hotel la Favorita
390,Koumra,TD,83.25,scattered clouds,8.91,17.55,Motel Espoir
394,Balkanabat,TM,65.1,clear sky,39.51,54.37,Nebitchi Hotel
395,Port Hedland,AU,77.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
397,Kloulklubed,PW,80.6,broken clouds,7.04,134.26,Storyboard Beach Resort
398,Micheweni,TZ,80.53,overcast clouds,-4.97,39.83,
399,Kaihua,CN,71.46,clear sky,23.37,104.28,Zhongyu Hotel
400,Shingu,JP,68.0,scattered clouds,33.73,135.98,Shingu UI Hotel
401,Umarga,IN,81.07,scattered clouds,17.83,76.62,Kala math
402,Marmaris,TR,64.4,broken clouds,36.85,28.27,Blue Bay Platinum
403,That Phanom,TH,84.2,few clouds,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
405,Campo Largo,BR,62.6,clear sky,-25.46,-49.53,Hotel Campo Largo Express
406,Endicott,US,55.99,overcast clouds,42.1,-76.05,Knights Inn Endwell
407,Sucua,EC,70.34,broken clouds,-2.47,-78.17,Hotel Barza
408,Thayetmyo,MM,86.4,clear sky,19.32,95.18,Ngwe Sin Kyal Guest House
409,Komsomolskiy,UZ,60.8,clear sky,40.43,71.72,"Hotel ""Ikathouse"""
410,Gambela,ET,78.3,overcast clouds,8.25,34.58,Solomon Debebe Hotel
412,Helong,CN,54.19,few clouds,42.54,129.0,Helong Hotel
413,Alofi,NU,82.4,clear sky,-19.06,-169.92,Taloa Heights
414,Tura,IN,76.64,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
415,Tezu,IN,76.8,few clouds,27.92,96.17,Circuit House
416,Sorong,ID,83.68,overcast clouds,-0.88,131.25,The Waigo Hotel
418,Pacific Grove,US,66.2,clear sky,36.62,-121.92,Lovers Point Inn
419,Mildura,AU,50.0,clear sky,-34.2,142.15,Mercure Hotel Mildura
421,Victor Harbor,AU,57.99,clear sky,-35.57,138.62,Apollon Motor Inn
424,Klyuchi,RU,65.44,overcast clouds,52.27,79.17,Vesolaya Mayovka
425,Huanren,CN,57.87,clear sky,41.26,125.37,Dynasty Wunvshan Ice Chateau
426,Sri Aman,MY,77.0,broken clouds,1.24,111.46,Seri Simanggang Hotel
427,Honiara,SB,89.6,few clouds,-9.43,159.95,Heritage Park Hotel
428,Chomutov,CZ,54.0,light intensity shower rain,50.46,13.42,Hotel U dvou medvídků
429,Key West,US,75.2,overcast clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
430,Quepos,CR,77.0,overcast clouds,9.42,-84.17,Jungle Beach Hotel at Manuel Antonio
431,Am Timan,TD,86.79,few clouds,11.03,20.28,
433,Sakakah,SA,69.8,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
434,Port Lincoln,AU,56.19,scattered clouds,-34.73,135.87,Port Lincoln Hotel
435,Seybaplaya,MX,84.2,few clouds,19.65,-90.67,sala de fiesta san Rafael
436,Karratha,AU,78.4,broken clouds,-20.74,116.85,ibis Styles Karratha
437,Kyshtovka,RU,60.53,clear sky,56.55,76.63,Uyutnaya Mini-Hotel
438,San Andres,CO,84.2,scattered clouds,12.58,-81.7,Hotel Arena Blanca
439,Huilong,CN,69.01,clear sky,31.81,121.66,Hilton Garden Inn Qidong
440,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
441,Goba,ET,51.93,broken clouds,7.02,39.98,Goba Wabe Shebelle Hotel
443,Narathiwat,TH,80.6,few clouds,6.33,101.75,MUSOR
444,Harper,LR,81.72,overcast clouds,4.38,-7.72,Cape View Guest House
445,Ghanzi,BW,57.0,clear sky,-21.57,21.78,Ghanzi Farmhouse
448,Geraldton,AU,53.6,few clouds,-28.77,114.6,Broadwater Mariner Resort
449,Damietta,EG,66.2,clear sky,31.42,31.81,الحاج مسعد الموافي
451,Ordzhonikidze,KZ,59.32,overcast clouds,52.44,61.74,Gostinitsa
453,Qiongshan,CN,80.6,broken clouds,20.01,110.35,Sun City Restaurant
456,Temirtau,KZ,51.8,few clouds,50.05,72.95,Bota Hotel
457,Kutum,SD,67.59,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
458,Bardiyah,LY,64.72,clear sky,31.76,25.09,بورتو بردية
460,Pratapgarh,IN,75.58,clear sky,24.03,74.78,Ratna Hotel
461,Lakatoro,VU,78.8,light intensity shower rain,-16.1,167.42,Lakatoro Palm Lodge
462,Aklavik,CA,50.0,broken clouds,68.22,-135.01,Aklavik Inn
464,Phanat Nikhom,TH,90.0,scattered clouds,13.45,101.18,I-Destiny Gallery Resort
466,Jaisalmer,IN,81.77,clear sky,26.91,70.92,Hotel Fifu
467,Antofagasta,CL,60.8,broken clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
469,Kommunisticheskiy,RU,54.54,clear sky,61.68,64.48,
470,Grand Gaube,MU,68.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
471,Kirakira,SB,86.25,clear sky,-10.45,161.92,SanBiz Lodge
472,Placerville,US,80.01,clear sky,38.73,-120.8,Historic Cary House Hotel
